Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Spoofs Images,Hide image?,Spoof Category,Caption,Featured?,Author Credit
Google no Search Day,google-no-search-day,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc2,false,false,Tue Dec 29 2020 21:32:18 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:32:18 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba04e2256a6b3a2e9f336_GoogleNoSearchDay.jpg,false,PSYCHO,,false,
Gotz Gramlich Occupymakrkets,gotz-gramlich-occupymakrkets,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc3,false,false,Tue Dec 29 2020 21:32:54 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:32:54 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba06cf723ca9ce9689684_GotzGramlich_occupymarkets.jpg,false,POLITICAL,,false,
Grace Lee,grace-lee,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc4,false,false,Tue Dec 29 2020 21:33:27 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:33:27 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba08e983879526be6e313_GraceLee.jpg,false,PSYCHO,,false,
Grease,grease,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae62,false,false,Sat Jan 09 2021 00:25:12 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:25:12 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f7e027d340af50fbfe2d_food_fight_2_600px.jpg,false,CORPO,,false,
Heather Champbell,heather-champbell,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042adc5,false,false,Tue Dec 29 2020 21:34:12 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:34:12 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feba0b197cb061f0bb2f25e_HeatherCampbell_ipadsmaller.jpg,false,CORPO,,false,
Hurrah,hurrah,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae80,false,false,Wed Jan 13 2021 18:02:58 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:23:13 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3a8d74b6a457a0330429_political_2_600px.jpg,false,POLITICAL,,false,
"I miss my lung, Bob.",i-miss-my-lung-bob,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae6b,false,false,Wed Jan 13 2021 17:59:10 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:21:37 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3a2f9b136c62bc438dff_philip_morris_4_600px.jpg,false,CORPO,,false,
I'm sick of just doing it.,im-sick-of-just-doing-it,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae9d,false,false,Wed Jan 13 2021 18:33:23 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:33:23 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3ccb484fbf46a54d2205_unswooshing_5_600px.jpg,false,CORPO,,false,
It's so cool to wear. Think Again.,its-so-cool-to-wear-think-again,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae9b,false,false,Wed Jan 13 2021 18:32:10 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:32:10 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3c9984ef80b60ae85420_unswooshing_3_600px.jpg,false,CORPO,,false,
Joe Chemo,joe-chemo,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae7e,false,false,Wed Jan 13 2021 18:00:37 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:21:50 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3a3b9b136c4d89438e05_philip_morris_5_600px.jpg,false,CORPO,,false,
Just Douche it.,just-douche-it,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae9c,false,false,Wed Jan 13 2021 18:32:31 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:32:31 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3cb59d900d7b20e30e9d_unswooshing_4_600px.jpg,false,CORPO,,false,
Just Douche it again.,just-douche-it-again,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae9e,false,false,Wed Jan 13 2021 18:33:56 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:33:56 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3d05993f61833aec731f_unswooshing_6_600px.jpg,false,CORPO,,false,
Just wash the Spoon,just-wash-the-spoon,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae21,false,false,Fri Jan 08 2021 23:50:21 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:05:22 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f33f63870f48b0e306d8_buyology_urge_2_600px.jpg,false,ECOLOGICAL,,false,
Keep Shopping,keep-shopping,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ada6,false,false,Tue Dec 29 2020 21:25:23 GMT+0000 (Coordinated Universal Time),Tue Dec 29 2020 21:25:23 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5feb9eb797cb06d7ebb2e96d_Britney.jpg,false,BUYNOTHINGDAY,,false,
Keeping Time,keeping-time,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042b01b,false,false,Mon Oct 25 2021 23:22:14 GMT+0000 (Coordinated Universal Time),Mon Oct 25 2021 23:22:14 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/61773c0aa227efb9e94df371_Keeping_Time_600x750.jpg,false,BUYNOTHINGDAY,,true,
KFC Fill Up,kfc-fill-up,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042af71,false,false,Thu Jul 08 2021 18:12:59 GMT+0000 (Coordinated Universal Time),Fri Jul 23 2021 17:19:39 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/60e74002791507cdb5e0943d_Spoof-ad_kfc-fillup_600x480.jpg,false,CORPO,$20 Fill Ups,false,
Kill All Corp,kill-all-corp,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042af6b,false,false,Tue Jun 22 2021 22:17:51 GMT+0000 (Coordinated Universal Time),Fri Jul 02 2021 17:27:51 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/60d261799e91e2195a044943_Spoof-Ad_killacorp_600x750.jpg,false,CORPO,,false,
KillaCorp Exxon,killacorp-exxon,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042af6d,false,false,Fri Jul 02 2021 17:27:44 GMT+0000 (Coordinated Universal Time),Thu Jul 08 2021 18:13:06 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/60df4c608a98d524496102b1_SpoofAd_killacorp_Exxon_600x750.jpg,false,CORPO,From AB143,false,
La Beauté,la-beaute,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae82,false,false,Wed Jan 13 2021 18:03:46 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:23:41 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3aaae8bab2683095c4b2_political_4_600px.jpg,false,POLITICAL,,false,
Let's be human beings,lets-be-human-beings,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae3a,false,false,Sat Jan 09 2021 00:10:55 GMT+0000 (Coordinated Universal Time),Sat Jan 09 2021 00:10:55 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5ff8f479a59e0a0af9513e60_dysmal_science_2_600px.jpg,false,PSYCHO,,false,
Levis Go Forth,levis-go-forth,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042af55,false,false,Thu Jun 17 2021 19:43:54 GMT+0000 (Coordinated Universal Time),Tue Jun 22 2021 22:17:58 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/60cba5d20307922e92c6ec20_spoof-ad_levis_600x750.jpg,false,CORPO,,false,
Lilya Brik - Please,lilya-brik-please,65c28f6b17c6d6d0d042a41b,65c28f6b17c6d6d0d042ae86,false,false,Wed Jan 13 2021 18:19:28 GMT+0000 (Coordinated Universal Time),Wed Jan 13 2021 18:30:21 GMT+0000 (Coordinated Universal Time),Tue Nov 05 2024 00:01:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5acfc48421e7a66153389c5f/5fff3adf9faa854cf81a3aa7_political_8_600px.jpg,false,POLITICAL,,false,
